arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2016-02-23,12:00 PM,Van Nuys,18,Male,White,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,935,34.1837,-118.4465,2016,Feb,Tue,15-20
2016-02-21,01:52 AM,Van Nuys,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,911,34.1938,-118.4702,2016,Feb,Sun,15-20
2016-02-26,08:15 PM,Mission,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1994,34.2184,-118.4547,2016,Feb,Fri,15-20
2016-02-27,04:00 AM,Newton,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1347,34.0113,-118.2462,2016,Feb,Sat,15-20
2016-02-27,04:00 AM,Mission,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1912,34.3172,-118.4755,2016,Feb,Sat,15-20
2016-02-27,02:00 AM,Van Nuys,20,Female,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,926,34.1939,-118.4431,2016,Feb,Sat,15-20
2016-02-24,03:35 AM,N Hollywood,20,Female,Other,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1566,34.1474,-118.3703,2016,Feb,Wed,15-20
2016-02-26,11:25 PM,Olympic,18,Male,White,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,2039,34.0588,-118.2842,2016,Feb,Fri,15-20
2016-02-28,05:56 AM,West LA,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,882,34.0355,-118.4381,2016,Feb,Sun,15-20
2016-02-29,01:50 PM,Central,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING .10 OR ABOVE,Misdemeanor,127,34.0515,-118.2424,2016,Feb,Mon,15-20
2016-03-04,09:00 PM,Mission,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1962,34.2392,-118.4676,2016,Mar,Fri,15-20
2016-03-04,09:25 PM,Olympic,20,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,2029,34.0637,-118.2916,2016,Mar,Fri,15-20
2016-03-01,10:45 PM,Newton,19,Female,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1395,33.9797,-118.2652,2016,Mar,Tue,15-20
2016-03-04,10:35 PM,Olympic,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,2074,34.0436,-118.3053,2016,Mar,Fri,15-20
2016-03-03,02:41 PM,Topanga,20,Male,White,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,2175,34.172,-118.6102,2016,Mar,Thu,15-20
2016-03-06,03:30 AM,Wilshire,20,Male,White,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,753,34.0519,-118.3583,2016,Mar,Sun,15-20
2016-03-05,12:17 AM,Mission,19,Female,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1991,34.2214,-118.4699,2016,Mar,Sat,15-20
2016-03-04,09:25 PM,Devonshire,17,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1795,34.2212,-118.5027,2016,Mar,Fri,15-20
2016-03-03,03:06 AM,Pacific,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1408,34.0291,-118.3947,2016,Mar,Thu,15-20
2016-03-01,12:25 AM,Topanga,18,Male,White,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,2144,34.1864,-118.6234,2016,Mar,Tue,15-20
2016-03-01,08:04 PM,Pacific,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1401,34.0247,-118.4454,2016,Mar,Tue,15-20
2016-03-02,07:25 PM,Devonshire,20,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1756,34.254,-118.5155,2016,Mar,Wed,15-20
2016-03-10,02:40 AM,77th Street,20,Female,Black,Driving Under Influence,DUI OF A DRUG CAUSING INJURY,Felony,1267,33.9601,-118.2782,2016,Mar,Thu,15-20
2016-03-10,01:30 AM,Pacific,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1441,33.9791,-118.4669,2016,Mar,Thu,15-20
2016-03-11,06:10 PM,Mission,19,Male,Hispanic,Driving Under Influence,< AGE 21 DRIVING VEH W/BLOOD-ALCOHOL .01+,Misdemeanor,1963,34.2427,-118.448,2016,Mar,Fri,15-20
2016-11-06,01:40 AM,Van Nuys,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,963,34.162,-118.457,2016,Nov,Sun,15-20
2016-03-09,08:30 PM,Foothill,18,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1621,34.26,-118.4305,2016,Mar,Wed,15-20
2016-11-27,02:30 AM,Van Nuys,18,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,932,34.1867,-118.4618,2016,Nov,Sun,15-20
2016-03-10,03:50 AM,Mission,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1994,34.2216,-118.4488,2016,Mar,Thu,15-20
