arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2019-08-21,01:00 AM,N Hollywood,20,Male,White,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,1541,34.1649,-118.412,2019,Aug,Wed,15-20
2019-08-17,02:45 PM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Infraction,265,34.0565,-118.2768,2019,Aug,Sat,15-20
2019-09-05,12:45 AM,West LA,19,Female,White,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,898,34.0329,-118.3899,2019,Sep,Thu,15-20
2019-09-01,07:25 AM,Mission,20,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,1955,34.2627,-118.4564,2019,Sep,Sun,15-20
2019-09-17,04:20 PM,Central,20,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,157,34.0412,-118.2436,2019,Sep,Tue,15-20
2019-09-22,02:45 AM,Central,19,Male,White,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,191,34.0363,-118.2733,2019,Sep,Sun,15-20
2019-09-19,10:48 PM,Northeast,16,Male,Hispanic,Drunkeness,POSS ALCH BEV ON POSTED PREM,Misdemeanor,1189,34.0894,-118.2119,2019,Sep,Thu,15-20
2019-10-03,06:50 PM,Olympic,19,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,2027,34.0635,-118.2929,2019,Oct,Thu,15-20
2019-10-09,06:40 PM,Van Nuys,20,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,929,34.1887,-118.4247,2019,Oct,Wed,15-20
2019-09-27,03:40 AM,Rampart,20,Male,Hispanic,Drunkeness,POSS ALCH BEV ON POSTED PREM,Infraction,251,34.0594,-118.2833,2019,Sep,Fri,15-20
2019-11-06,07:10 PM,Southwest,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,376,34.0128,-118.3078,2019,Nov,Wed,15-20
2019-11-07,10:05 PM,Van Nuys,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,904,34.2084,-118.4599,2019,Nov,Thu,15-20
2019-11-07,03:30 PM,Hollywood,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,678,34.0885,-118.3064,2019,Nov,Thu,15-20
2019-12-12,03:30 PM,Northeast,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,1181,34.0774,-118.265,2019,Dec,Thu,15-20
2019-12-18,10:58 PM,Mission,18,Female,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,1961,34.25,-118.4675,2019,Dec,Wed,15-20
2010-05-19,05:20 PM,Van Nuys,19,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,926,34.1897,-118.4444,2010,May,Wed,15-20
2010-09-16,10:00 PM,Foothill,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1657,34.2523,-118.2932,2010,Sep,Thu,15-20
2011-11-21,06:40 PM,Central,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,123,34.053,-118.2444,2011,Nov,Mon,15-20
2011-11-21,06:40 PM,Central,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,123,34.053,-118.2444,2011,Nov,Mon,15-20
2011-11-21,06:40 PM,Central,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,123,34.053,-118.2444,2011,Nov,Mon,15-20
2011-11-21,03:05 PM,Central,19,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,123,34.053,-118.2444,2011,Nov,Mon,15-20
2011-04-09,11:40 AM,Hollywood,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,644,34.0962,-118.3441,2011,Apr,Sat,15-20
2011-07-23,11:50 PM,Foothill,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1621,34.2614,-118.432,2011,Jul,Sat,15-20
2012-06-24,11:00 PM,Northeast,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1133,34.1139,-118.2645,2012,Jun,Sun,15-20
2013-01-18,09:50 PM,Northeast,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1181,34.0786,-118.2615,2013,Jan,Fri,15-20
2013-07-12,11:40 PM,Northeast,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1181,34.08,-118.2606,2013,Jul,Fri,15-20
2013-07-12,11:40 PM,Northeast,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1181,34.08,-118.2606,2013,Jul,Fri,15-20
2010-02-06,12:40 PM,Central,18,Female,White,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,152,34.0494,-118.2581,2010,Feb,Sat,15-20
2010-05-18,06:35 PM,Central,18,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,155,33.9935,-118.4752,2010,May,Tue,15-20
2010-02-06,01:20 AM,Central,19,Male,Other,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,152,34.0494,-118.2581,2010,Feb,Sat,15-20
2010-07-09,03:00 PM,Central,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,185,34.0357,-118.2563,2010,Jul,Fri,15-20
2010-02-11,07:30 PM,Central,19,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,154,34.0453,-118.2499,2010,Feb,Thu,15-20
2010-06-03,06:00 PM,Central,20,Male,White,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,119,34.0704,-118.2342,2010,Jun,Thu,15-20
2010-02-06,12:20 PM,Central,20,Male,White,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,152,34.0494,-118.2581,2010,Feb,Sat,15-20
2010-06-07,06:00 PM,Central,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,192,34.0363,-118.2677,2010,Jun,Mon,15-20
2010-04-12,05:45 PM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,236,34.0648,-118.2696,2010,Apr,Mon,15-20
2010-10-28,06:10 PM,Central,18,Female,White,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,154,34.0464,-118.248,2010,Oct,Thu,15-20
2010-03-25,08:00 PM,Rampart,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,247,34.058,-118.2715,2010,Mar,Thu,15-20
2010-02-28,11:30 PM,Rampart,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,231,34.0719,-118.2822,2010,Feb,Sun,15-20
2010-03-03,05:55 PM,Rampart,20,Female,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,265,34.0559,-118.2756,2010,Mar,Wed,15-20
2010-03-05,04:30 PM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,201,34.0891,-118.2992,2010,Mar,Fri,15-20
2010-03-22,11:00 AM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,211,34.0836,-118.2941,2010,Mar,Mon,15-20
2010-05-13,11:00 PM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,289,34.0447,-118.2747,2010,May,Thu,15-20
2010-06-16,04:00 PM,Rampart,19,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,237,34.0606,-118.2672,2010,Jun,Wed,15-20
2010-04-26,10:20 PM,Rampart,13,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,202,34.0897,-118.2893,2010,Apr,Mon,10-14
2010-05-02,05:45 AM,Rampart,18,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,257,34.0592,-118.2674,2010,May,Sun,15-20
2010-05-02,05:45 AM,Rampart,20,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,257,34.0592,-118.2674,2010,May,Sun,15-20
2010-07-14,09:40 PM,Rampart,14,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,279,34.0495,-118.27,2010,Jul,Wed,10-14
2010-05-27,07:30 PM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,201,34.0853,-118.299,2010,May,Thu,15-20
2010-07-14,08:40 PM,Rampart,17,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,279,34.0495,-118.27,2010,Jul,Wed,15-20
2010-05-28,03:45 PM,Rampart,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,257,34.058,-118.2682,2010,May,Fri,15-20
2010-05-13,11:00 PM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,289,34.0447,-118.2747,2010,May,Thu,15-20
2010-04-07,05:00 PM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,201,34.0853,-118.299,2010,Apr,Wed,15-20
2010-03-20,11:00 PM,Rampart,15,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,203,34.0857,-118.2892,2010,Mar,Sat,15-20
2010-04-12,05:40 PM,Rampart,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,236,34.0648,-118.2696,2010,Apr,Mon,15-20
2010-08-11,04:10 PM,Rampart,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,246,34.0596,-118.2749,2010,Aug,Wed,15-20
2010-10-09,03:45 PM,Rampart,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,257,34.058,-118.2682,2010,Oct,Sat,15-20
2010-03-23,04:50 PM,Southwest,19,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,363,34.0126,-118.3403,2010,Mar,Tue,15-20
2010-02-06,01:50 PM,Southwest,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,315,34.0327,-118.309,2010,Feb,Sat,15-20
2010-08-25,12:00 PM,Rampart,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,295,34.0406,-118.2798,2010,Aug,Wed,15-20
2010-10-09,04:55 PM,Rampart,15,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,238,34.0648,-118.2558,2010,Oct,Sat,15-20
2010-10-28,02:30 AM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,271,34.0544,-118.2809,2010,Oct,Thu,15-20
2010-10-26,12:30 AM,Rampart,14,Female,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,275,34.0477,-118.2751,2010,Oct,Tue,10-14
2010-10-26,12:30 AM,Rampart,15,Female,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,275,34.0477,-118.2751,2010,Oct,Tue,15-20
2010-10-09,04:55 PM,Rampart,15,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,238,34.0648,-118.2558,2010,Oct,Sat,15-20
2010-07-23,03:30 PM,Rampart,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,266,34.0524,-118.2765,2010,Jul,Fri,15-20
2010-10-28,02:30 AM,Rampart,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,271,34.0544,-118.2809,2010,Oct,Thu,15-20
2010-08-25,12:05 PM,Rampart,18,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,295,34.0406,-118.2798,2010,Aug,Wed,15-20
2010-10-13,04:20 PM,Rampart,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,201,34.0856,-118.299,2010,Oct,Wed,15-20
2010-01-20,10:30 AM,Southwest,19,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,326,34.0309,-118.3002,2010,Jan,Wed,15-20
2010-12-09,04:40 PM,Rampart,18,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,236,34.0619,-118.2702,2010,Dec,Thu,15-20
2010-10-28,02:30 AM,Rampart,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,271,34.0544,-118.2809,2010,Oct,Thu,15-20
2010-08-10,01:35 PM,Hollenbeck,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,413,34.082,-118.214,2010,Aug,Tue,15-20
2010-08-10,01:40 PM,Hollenbeck,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,413,34.082,-118.214,2010,Aug,Tue,15-20
2010-06-04,09:25 PM,Hollenbeck,20,Male,Hispanic,Drunkeness,POSS ALCH BEV ON POSTED PREM,Misdemeanor,499,34.0189,-118.1932,2010,Jun,Fri,15-20
2010-06-26,02:00 PM,Southwest,18,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,359,34.0199,-118.2797,2010,Jun,Sat,15-20
2010-10-21,06:30 PM,Southwest,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,398,34.0062,-118.2872,2010,Oct,Thu,15-20
2010-03-01,08:55 PM,Hollenbeck,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,443,34.0468,-118.2078,2010,Mar,Mon,15-20
2010-02-06,08:30 PM,Hollenbeck,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,426,34.0832,-118.1655,2010,Feb,Sat,15-20
2010-05-01,03:00 PM,Hollenbeck,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,455,34.0485,-118.2115,2010,May,Sat,15-20
2010-09-27,08:00 PM,Southwest,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,398,34.0102,-118.2915,2010,Sep,Mon,15-20
2010-06-18,10:50 PM,Southwest,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,396,34.0091,-118.2915,2010,Jun,Fri,15-20
2010-10-21,06:30 PM,Southwest,17,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,398,34.0062,-118.2872,2010,Oct,Thu,15-20
2010-10-21,06:30 PM,Southwest,17,Male,Guamanian,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,398,34.0062,-118.2872,2010,Oct,Thu,15-20
